Datetime,Open,High,Low,Close,Adj Close,Volume,ma_20,MDD
2023-10-18 00:00:00+00:00,28413.53125,28440.64453125,28342.521484375,28380.6171875,28380.6171875,0,28430.68583984375,-0.3225516221996165
2023-10-18 01:00:00+00:00,28380.8671875,28421.6640625,28345.068359375,28369.884765625,28369.884765625,0,28430.68583984375,-0.3225516221996165
2023-10-18 02:00:00+00:00,28368.703125,28504.69140625,28368.703125,28475.748046875,28475.748046875,0,28430.68583984375,-0.3225516221996165
2023-10-18 03:00:00+00:00,28481.001953125,28525.01171875,28459.97265625,28524.9609375,28524.9609375,0,28430.68583984375,-0.3225516221996165
2023-10-18 04:00:00+00:00,28525.548828125,28889.009765625,28467.333984375,28727.962890625,28727.962890625,0,28430.68583984375,-0.3225516221996165
2023-10-18 05:00:00+00:00,28735.2890625,28852.35546875,28671.37890625,28687.314453125,28687.314453125,1266196480,28430.68583984375,-0.3225516221996165
2023-10-18 06:00:00+00:00,28701.326171875,28742.97265625,28653.462890625,28693.435546875,28693.435546875,66314240,28430.68583984375,-0.3225516221996165
2023-10-18 07:00:00+00:00,28689.28125,28689.28125,28506.37890625,28506.37890625,28506.37890625,0,28430.68583984375,-0.3225516221996165
2023-10-18 08:00:00+00:00,28506.75,28567.12109375,28491.044921875,28567.12109375,28567.12109375,0,28430.68583984375,-0.3225516221996165
2023-10-18 09:00:00+00:00,28571.978515625,28607.3984375,28448.533203125,28448.533203125,28448.533203125,0,28430.68583984375,-0.3225516221996165
2023-10-18 10:00:00+00:00,28278.796875,28424.283203125,28278.796875,28387.361328125,28387.361328125,211846144,28430.68583984375,-0.3225516221996165
2023-10-18 11:00:00+00:00,28390.015625,28409.69921875,28357.39453125,28360.927734375,28360.927734375,0,28430.68583984375,-0.3225516221996165
2023-10-18 12:00:00+00:00,28364.275390625,28413.8359375,28310.99609375,28325.96484375,28325.96484375,0,28430.68583984375,-0.3225516221996165
2023-10-18 13:00:00+00:00,28347.982421875,28386.619140625,28299.544921875,28355.4921875,28355.4921875,0,28430.68583984375,-0.3225516221996165
2023-10-18 14:00:00+00:00,28354.17578125,28371.04296875,28174.251953125,28222.609375,28222.609375,0,28430.68583984375,-0.3225516221996165
2023-10-18 15:00:00+00:00,28205.05859375,28290.0546875,28199.4921875,28266.0234375,28266.0234375,0,28430.68583984375,-0.3225516221996165
2023-10-18 16:00:00+00:00,28264.7265625,28402.6796875,28245.884765625,28359.755859375,28359.755859375,71284736,28430.68583984375,-0.3225516221996165
2023-10-18 17:00:00+00:00,28360.97265625,28424.80859375,28351.8671875,28352.98046875,28352.98046875,0,28430.68583984375,-0.3225516221996165
2023-10-18 18:00:00+00:00,28344.869140625,28375.318359375,28307.79296875,28308.89453125,28308.89453125,0,28430.68583984375,-0.3225516221996165
2023-10-18 19:00:00+00:00,28311.021484375,28329.650390625,28264.578125,28291.75,28291.75,0,28430.68583984375,-0.3225516221996165
2023-10-18 20:00:00+00:00,28259.904296875,28308.169921875,28216.68359375,28258.36328125,28258.36328125,0,28424.57314453125,-0.3225516221996165
2023-10-18 21:00:00+00:00,28255.2265625,28292.2421875,28231.078125,28283.607421875,28283.607421875,0,28420.25927734375,-0.3225516221996165
2023-10-18 22:00:00+00:00,28283.041015625,28347.197265625,28266.22265625,28346.451171875,28346.451171875,203732992,28413.79443359375,-0.3225516221996165
2023-10-18 23:00:00+00:00,28352.0546875,28371.203125,28319.1171875,28329.396484375,28329.396484375,52912128,28404.0162109375,-0.3225516221996165
2023-10-19 00:00:00+00:00,28332.416015625,28399.84375,28308.337890625,28399.84375,28399.84375,2748416,28387.61025390625,-0.3225516221996165
2023-10-19 01:00:00+00:00,28397.34765625,28420.30078125,28177.98828125,28241.404296875,28241.404296875,339301376,28365.31474609375,-0.3225516221996165
2023-10-19 02:00:00+00:00,28243.947265625,28263.6015625,28187.2265625,28212.751953125,28212.751953125,90041344,28341.28056640625,-0.3225516221996165
2023-10-19 03:00:00+00:00,28215.078125,28266.294921875,28206.89453125,28247.5625,28247.5625,0,28328.33974609375,-0.3225516221996165
2023-10-19 04:00:00+00:00,28258.052734375,28293.361328125,28245.5234375,28283.9296875,28283.9296875,0,28314.18017578125,-0.3225516221996165
2023-10-19 05:00:00+00:00,28291.615234375,28346.630859375,28288.05859375,28316.748046875,28316.748046875,0,28307.59091796875,-0.3225516221996165
2023-10-19 06:00:00+00:00,28318.017578125,28330.61328125,28289.97265625,28289.97265625,28289.97265625,0,28302.721484375,-0.3225516221996165
2023-10-19 07:00:00+00:00,28294.2890625,28339.291015625,28261.15625,28339.291015625,28339.291015625,0,28301.6396484375,-0.3225516221996165
2023-10-19 08:00:00+00:00,28338.056640625,28372.681640625,28326.205078125,28337.177734375,28337.177734375,0,28302.20029296875,-0.3225516221996165
2023-10-19 09:00:00+00:00,28336.4609375,28416.484375,28303.423828125,28415.060546875,28415.060546875,129590272,28305.1787109375,-0.3225516221996165
